Row ID,Order ID,Order Date,Ship Date,Delivery Time,Ship Mode,Customer ID,Customer Name,Sub-Category,Product Name,Quantity
40098,CA-2014-AB10015140-41954,11/11/2014,11/13/2014,2,First Class,AB-100151402,Aaron Bergman,Phones,Samsung Convoy 3,2
26341,IN-2014-JR162107-41675,2/5/2014,2/7/2014,2,Second Class,JR-162107,Justin Ritter,Chairs,"Novimex Executive Leather Armchair, Black",9
25330,IN-2014-CR127307-41929,10/17/2014,10/18/2014,1,First Class,CR-127307,Craig Reiter,Phones,"Nokia Smart Phone, with Caller ID",9
13524,ES-2014-KM1637548-41667,1/28/2014,1/30/2014,2,First Class,KM-1637548,Katherine Murray,Phones,"Motorola Smart Phone, Cordless",5
47221,SG-2014-RH9495111-41948,11/5/2014,11/6/2014,1,Same Day,RH-9495111,Rick Hansen,Copiers,"Sharp Wireless Fax, High-Speed",8
22732,IN-2014-JM156557-41818,6/28/2014,7/1/2014,3,Second Class,JM-156557,Jim Mitchum,Phones,"Samsung Smart Phone, with Caller ID",5
30570,IN-2012-TS2134092-41219,11/6/2012,11/8/2012,2,First Class,TS-2134092,Toby Swindell,Chairs,"Novimex Executive Leather Armchair, Adjustable",4
31192,IN-2013-MB1808592-41378,4/14/2013,4/18/2013,4,Standard Class,MB-1808592,Mick Brown,Tables,"Chromcraft Conference Table, Fully Assembled",6
40099,CA-2014-AB10015140-41954,11/11/2014,11/13/2014,2,First Class,AB-100151402,Aaron Bergman,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",2
36258,CA-2012-AB10015140-40974,3/6/2012,3/7/2012,1,First Class,AB-100151404,Aaron Bergman,Chairs,"Global Push Button Manager's Chair, Indigo",1
36259,CA-2012-AB10015140-40974,3/6/2012,3/7/2012,1,First Class,AB-100151404,Aaron Bergman,Art,Newell 330,3
28879,ID-2013-AJ107801-41383,4/19/2013,4/22/2013,3,First Class,AJ-107801,Anthony Jacobs,Tables,"Bevis Conference Table, Fully Assembled",5
